county,state,fipscounty,cbsa,cbsaname
AUTAUGA,AL,1001,33860,"Montgomery, AL"
BALDWIN,AL,1003,,
BARBOUR,AL,1005,,
BIBB,AL,1007,13820,"Birmingham-Hoover, AL"
BLOUNT,AL,1009,13820,"Birmingham-Hoover, AL"
BULLOCK,AL,1011,,
BUTLER,AL,1013,,
CALHOUN,AL,1015,11500,"Anniston-Oxford, AL"
CHAMBERS,AL,1017,,
CHEROKEE,AL,1019,,
CHILTON,AL,1021,13820,"Birmingham-Hoover, AL"
CHOCTAW,AL,1023,,
CLARKE,AL,1025,,
CLAY,AL,1027,,
CLEBURNE,AL,1029,,
COFFEE,AL,1031,,
COLBERT,AL,1033,22520,"Florence-Muscle Shoals, AL"
CONECUH,AL,1035,,
COOSA,AL,1037,,
COVINGTON,AL,1039,,
CRENSHAW,AL,1041,,
CULLMAN,AL,1043,,
DALE,AL,1045,,
DALLAS,AL,1047,,
DE KALB,AL,1049,,
ELMORE,AL,1051,33860,"Montgomery, AL"
ESCAMBIA,AL,1053,,
ETOWAH,AL,1055,23460,"Gadsden, AL"
FAYETTE,AL,1057,,
FRANKLIN,AL,1059,,
GENEVA,AL,1061,20020,"Dothan, AL"
GREENE,AL,1063,46220,"Tuscaloosa, AL"
HALE,AL,1065,46220,"Tuscaloosa, AL"
HENRY,AL,1067,20020,"Dothan, AL"
HOUSTON,AL,1069,20020,"Dothan, AL"
JACKSON,AL,1071,,
JEFFERSON,AL,1073,13820,"Birmingham-Hoover, AL"
LAMAR,AL,1075,,
LAUDERDALE,AL,1077,22520,"Florence-Muscle Shoals, AL"
LAWRENCE,AL,1079,19460,"Decatur, AL"
LEE,AL,1081,12220,"Auburn-Opelika, AL"
LIMESTONE,AL,1083,26620,"Huntsville, AL"
LOWNDES,AL,1085,33860,"Montgomery, AL"
MACON,AL,1087,,
MADISON,AL,1089,26620,"Huntsville, AL"
MARENGO,AL,1091,,
MARION,AL,1093,,
MARSHALL,AL,1095,,
MOBILE,AL,1097,33660,"Mobile, AL"
MONROE,AL,1099,,
MONTGOMERY,AL,1101,33860,"Montgomery, AL"
MORGAN,AL,1103,19460,"Decatur, AL"
PERRY,AL,1105,,
PICKENS,AL,1107,,
PIKE,AL,1109,,
RANDOLPH,AL,1111,,
RUSSELL,AL,1113,17980,"Columbus, GA-AL"
ST. CLAIR,AL,1115,13820,"Birmingham-Hoover, AL"
SHELBY,AL,1117,13820,"Birmingham-Hoover, AL"
SUMTER,AL,1119,,
TALLADEGA,AL,1121,,
TALLAPOOSA,AL,1123,,
TUSCALOOSA,AL,1125,46220,"Tuscaloosa, AL"
WALKER,AL,1127,13820,"Birmingham-Hoover, AL"
WASHINGTON,AL,1129,,
WILCOX,AL,1131,,
WINSTON,AL,1133,,
STATEWIDE,AL,1990,,
ALEUTIANS EAST,AK,2013,,
ALEUTIANS WEST,AK,2016,,
ANCHORAGE,AK,2020,11260,"Anchorage, AK"
BETHEL,AK,2050,,
BRISTOL BAY BOROUGH,AK,2060,,
DENALI,AK,2068,,
DILLINGHAM,AK,2070,,
FAIRBANKS NORTH STAR,AK,2090,21820,"Fairbanks, AK"
HAINES,AK,2100,,
HOONAH-ANGOON CENSUS AREA,AK,2105,,
JUNEAU,AK,2110,,
KENAI PENINSULA,AK,2122,,
KETCHIKAN GATEWAY,AK,2130,,
KODIAK ISLAND BOROUGH,AK,2150,,
LAKE AND PENINSULA,AK,2164,,
MATANUSKA-SUSITNA,AK,2170,11260,"Anchorage, AK"
NOME,AK,2180,,
NORTH SLOPE BOROUH,AK,2185,,
NORTHWEST ARTIC BOROUGH,AK,2188,,
PETERSBURG CENSUS AREA,AK,2195,,
PR.OF WALES-HYDER CNS AREA,AK,2198,,
SITKA BOROUGH,AK,2220,,
SKAGWAY-YAKUTAT,AK,2230,,
SOUTHEAST FAIRBANKS,AK,2240,,
VALDEZ-CORDOVA,AK,2261,,
WADE HAMPTON,AK,2270,,
